code,sex,age
gsc_fe8fbf6e,0,0
gsc_768dbd9d,1,0
gsc_1ca0acd5,1,0.5
gsc_ab6d6072,1,0.75
gsc_d8dd5615,0,0.833333333
gsc_7e669878,0,0.916666667
gsc_59706800,1,1
gsc_c517d9e9,1,1
gsc_09ab6fd3,1,1
gsc_457bcd86,0,1
gsc_c7c5d889,0,1
gsc_2ba60d38,0,1
gsc_8a595aea,1,1
gsc_e3c8012d,1,1
gsc_d6a202ad,0,1
gsc_b0c6f1ff,0,1
gsc_69e9072c,1,1
gsc_56336c46,1,1.75
gsc_e451dc60,1,2
gsc_b42b881e,1,2
gsc_fa6cfb1f,1,2
gsc_67eff99f,0,2
gsc_4a072164,1,2
gsc_eb2cf4ba,1,2
gsc_0295a863,0,2
gsc_db4ed204,1,2
gsc_29c4b623,0,2
gsc_5b368e76,1,2
gsc_144539d1,1,2
gsc_d6cfce85,1,2
gsc_4adbae76,1,2
gsc_b777c036,1,2
gsc_e9a648ea,0,2
gsc_96b373ef,1,2
gsc_9daf1b4a,1,2
gsc_f9c7b19d,1,3
gsc_7d99da19,0,3
gsc_74d7eafa,0,3
gsc_0f4fb0f9,0,3
gsc_68b4d7be,0,3
gsc_b7f95d2d,1,3
gsc_1f083fc3,1,3
gsc_50f062ea,0,3
gsc_0b2362f1,0,3
gsc_14c0a8a4,0,3
gsc_67d6ae5d,1,3
gsc_6131559c,1,3
gsc_24dae5c6,0,3
gsc_55c9587b,0,3
gsc_fd5ecb4b,0,3
gsc_1090fcc4,1,3
gsc_896b5ee1,1,3
gsc_94007995,1,3
gsc_c50b78f4,1,3
gsc_3cd7e249,0,3
gsc_4bfba6c9,1,3
gsc_099c15e6,1,3
gsc_c24a1aca,0,3
gsc_c08d37db,0,3
gsc_21abc58a,0,3
gsc_d168ef8d,1,3
gsc_703ae428,1,3
gsc_c63d5f91,1,3
gsc_8f2aa832,1,3
gsc_65b43407,0,3
gsc_e31de9d3,0,3
gsc_033a9e3a,1,3
gsc_05a71e67,0,3
gsc_e0e5cb3e,1,3
gsc_862a0c38,0,4
gsc_0097afc9,1,4
gsc_3257ef6f,1,4
gsc_46618121,0,4
gsc_dafc5c95,1,4
gsc_1cac1aa1,0,4
gsc_d7e0e37c,0,4
gsc_a38eee82,0,4
gsc_627bb417,0,4
gsc_d0e9c9f4,1,4
gsc_5b0ec66b,1,4
gsc_8bda38eb,1,4
gsc_97be3027,1,4
gsc_fd9f1697,1,4
gsc_f9ab0382,0,4
gsc_512ad9b8,0,4
gsc_7e83538f,0,4
gsc_ac7430be,1,4
gsc_51e91609,1,4
gsc_13f9ae58,0,4
gsc_6543c9da,0,4
gsc_45ed743e,1,4
gsc_6775da7d,1,4
gsc_cae4f3d2,0,4
gsc_540ec426,1,4
gsc_a954e57f,1,4
gsc_ee9363fa,0,4
gsc_0b258d3c,1,4
gsc_c2d93a2a,0,4
gsc_f3add715,0,4
gsc_04adb9ca,1,4
gsc_97d8809c,0,4
gsc_d1a3090d,1,4
gsc_8d6bd3df,1,4
gsc_1c7caa57,1,4
gsc_a0664eb3,0,4
gsc_615a60ea,0,4
gsc_3fde7927,1,4
gsc_1d331683,1,4
gsc_45a1cb2d,0,4
gsc_552428e2,1,4
gsc_337736a6,0,4
gsc_ef09fb2c,0,4
gsc_bea0459c,0,4
gsc_730f7449,1,5
gsc_94a36ac0,0,5
gsc_45a9f0db,0,5
gsc_173d21c0,1,5
gsc_13a00588,0,5
gsc_1e5a5ae8,0,5
gsc_ea6a186c,1,5
gsc_9f820f7e,1,5
gsc_967c6645,1,5
gsc_e3add9e0,1,5
gsc_f0c91c10,0,5
gsc_7f3b841e,0,5
gsc_54fe5d8e,0,5
gsc_dba65eb9,0,5
gsc_caf7a549,0,5
gsc_d887965a,1,5
gsc_31d0b243,1,5
gsc_78302703,0,5
gsc_709f12b7,0,5
gsc_0e1400e0,1,5
gsc_b406eb86,1,5
gsc_ebc5d87e,1,5
gsc_0cb334f9,1,5
gsc_4470dd50,0,5
gsc_853c57e9,1,5
gsc_021345dd,0,5
gsc_dcaf440a,0,5
gsc_40de6cce,0,5
gsc_b650194b,1,5
gsc_b135200a,0,5
gsc_53acc475,0,5
gsc_0a997a17,1,5
gsc_706bbe93,0,5
gsc_2229484c,1,5
gsc_8c1e391b,1,5
gsc_5e56b52c,1,5
gsc_4b2d8181,1,5
gsc_13b1a6e1,0,5
gsc_2685c1d4,0,5
gsc_64a41960,1,5
gsc_6ab9b01e,1,5
gsc_276c29f5,0,5
gsc_7f5b9ea0,0,5
gsc_0f4b289a,0,5
gsc_a923490a,1,5
gsc_9296046d,1,5
gsc_70ba880f,0,5
gsc_b197fae6,1,5
gsc_4590540c,1,5
gsc_da473404,1,5
gsc_c6ccc634,1,5
gsc_52b99a5b,0,5
gsc_c29b718c,1,5
gsc_3ce25a4d,1,5
gsc_aabcfa9a,1,5
gsc_507b4183,0,5
gsc_9a71c345,1,5
gsc_00796c51,0,5
gsc_34a73a8c,1,5
gsc_64568505,1,5
gsc_75b3ecdd,1,5
gsc_7162ae21,0,5
gsc_e8d64a27,0,5
gsc_3cb6d874,0,5
gsc_d14eba06,1,5
gsc_671534a6,0,5
gsc_e95d5a52,1,5
gsc_a2d196ac,1,5
gsc_55649198,0,5
gsc_c80801ce,0,5
gsc_3dc62886,1,5
gsc_53a6bb48,1,5
gsc_ab7cf7ab,1,5
gsc_9f489ff1,1,5
gsc_ded15c8e,0,5
gsc_272a6ee3,1,5
gsc_c34aa83d,0,5
gsc_206d7b4b,1,5
gsc_83d39c2b,1,5
gsc_23a00917,0,5
gsc_7c4354ef,0,5
gsc_c8fba7de,1,5
gsc_30a8338c,0,6
gsc_bbbbedff,0,6
gsc_00017754,0,6
gsc_f76bb02e,1,6
gsc_34fc30d5,0,6
gsc_c646b457,1,6
gsc_82a9ffa6,1,6
gsc_1960970e,0,6
gsc_76bec5f2,0,6
gsc_e2b74bcf,0,6
gsc_a5658493,1,6
gsc_6608d93a,1,6
gsc_bcfba361,0,6
gsc_b4d1849c,1,6
gsc_1570e04d,1,6
gsc_ee13dd08,1,6
gsc_f052410f,0,6
gsc_ed0bfda1,1,6
gsc_8252b28d,0,6
gsc_3471a530,0,6
gsc_c105e394,1,6
gsc_ae5a211b,0,6
gsc_4d8907df,1,6
gsc_7ed5374d,1,6
gsc_ac519091,0,6
gsc_e92c1b94,0,6
gsc_af903eb1,0,6
gsc_80567796,1,6
gsc_9e496af2,0,6
gsc_bd305264,0,6
gsc_a3cc071c,0,6
gsc_46fd1274,0,6
gsc_c62e1426,0,6
gsc_99286ff7,0,6
gsc_b2c7e741,0,6
gsc_b3de9695,0,6
gsc_16dbab88,1,6
gsc_e4645a39,0,6
gsc_2ed7b8d2,0,6
gsc_258794e9,1,6
gsc_b88745c4,0,6
gsc_03e80fce,0,6
gsc_ef063c5e,1,6
gsc_18c89141,0,6
gsc_7f95f2d2,0,6
gsc_4a0791c4,0,6
gsc_eed9ce9e,0,6
gsc_efa81ffe,1,6
gsc_71d3d402,1,6
gsc_223d809a,0,6
gsc_53a033ca,1,6
gsc_fe4d2709,0,6
gsc_154c8cee,1,6
gsc_14672e68,0,6
gsc_8299c846,0,6
gsc_cb30deb4,0,6
gsc_d2b99f13,0,6
gsc_12840c6d,1,6
gsc_11812d9c,0,6
gsc_eee2cd46,1,6
gsc_07aa955e,0,6
gsc_994f12e0,1,6
gsc_2f21d5e5,0,6
